"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
40,0,2,0,0,332,2009
40,0,2,1,0,21,2009
40,0,1,0,0,435,2009
40,0,1,1,0,25,2009
40,1,2,0,0,1,2009
40,1,1,0,0,18,2009
40,2,2,0,0,5,2009
40,2,1,0,0,9,2009
40,3,2,0,0,19,2009
40,3,2,1,0,2,2009
40,3,1,0,0,32,2009
40,3,1,1,0,2,2009
40,9,2,0,0,1370,2009
40,9,2,1,0,205,2009
40,9,1,0,0,2510,2009
40,9,1,1,0,587,2009
152,0,2,0,0,9,2009
152,0,2,1,0,1,2009
152,0,1,0,0,9,2009
152,1,2,0,0,4,2009
152,1,1,0,0,2,2009
152,3,2,0,0,3,2009
152,3,1,0,0,3,2009
152,9,2,0,0,407,2009
152,9,2,1,0,67,2009
152,9,1,0,0,391,2009
152,9,1,1,0,96,2009
385,0,2,0,0,5690,2009
385,0,2,1,0,506,2009
385,0,1,0,0,4450,2009
385,0,1,1,0,603,2009
385,1,2,0,0,6,2009
385,1,1,0,0,8,2009
385,2,2,0,0,1,2009
385,2,1,0,0,2,2009
385,3,2,0,0,9,2009
385,3,2,1,0,1,2009
385,3,1,0,0,8,2009
385,3,1,1,0,1,2009
385,9,2,0,0,32,2009
385,9,1,0,0,27,2009
396,0,2,0,0,31,2009
396,0,2,1,0,5,2009
396,0,1,0,0,42,2009
396,0,1,1,0,3,2009
396,1,2,0,0,3,2009
396,1,1,0,0,1,2009
396,3,2,0,0,557,2009
396,3,2,1,0,155,2009
396,3,1,0,0,512,2009
396,3,1,1,0,160,2009
396,4,2,0,0,1,2009
396,9,2,0,0,35,2009
396,9,2,1,0,6,2009
396,9,1,0,0,45,2009
396,9,1,1,0,6,2009
397,0,2,0,0,8,2009
397,0,1,0,0,1,2009
397,1,1,0,0,1,2009
397,3,2,0,0,112,2009
397,3,2,1,0,23,2009
397,3,1,0,0,13,2009
397,3,1,1,0,7,2009
397,9,2,0,0,11,2009
397,9,1,0,0,2,2009
399,0,2,0,0,4,2009
399,1,2,0,0,29,2009
399,1,2,1,0,8,2009
399,1,1,0,0,8,2009
399,2,2,0,0,24,2009
399,2,2,1,0,6,2009
399,2,1,0,0,8,2009
399,3,2,0,0,40,2009
399,3,2,1,0,8,2009
399,3,1,0,0,3,2009
399,4,2,0,0,1,2009
399,9,2,0,0,3,2009
447,0,2,0,0,27,2009
447,0,2,1,0,8,2009
447,0,1,0,0,13,2009
447,0,1,1,0,12,2009
447,1,2,0,0,13,2009
447,1,2,1,0,12,2009
447,1,1,0,0,9,2009
447,1,1,1,0,7,2009
447,2,2,0,0,2,2009
447,2,2,1,0,3,2009
447,2,1,0,0,3,2009
447,2,1,1,0,2,2009
447,3,2,0,0,26,2009
447,3,2,1,0,14,2009
447,3,1,0,0,36,2009
447,3,1,1,0,11,2009
447,4,2,0,0,1,2009
447,9,2,0,0,4,2009
519,0,2,0,0,271,2009
519,0,2,1,0,37,2009
519,0,1,0,0,248,2009
519,0,1,1,0,36,2009
519,1,2,0,0,486,2009
519,1,2,1,0,157,2009
519,1,1,0,0,686,2009
519,1,1,1,0,309,2009
519,2,2,0,0,205,2009
519,2,2,1,0,61,2009
519,2,1,0,0,299,2009
519,2,1,1,0,134,2009
519,3,2,0,0,704,2009
519,3,2,1,0,218,2009
519,3,1,0,0,1012,2009
519,3,1,1,0,423,2009
519,4,2,0,0,7,2009
519,4,2,1,0,1,2009
519,4,1,0,0,4,2009
519,4,1,1,0,5,2009
519,5,2,0,0,5,2009
519,5,2,1,0,7,2009
519,5,1,0,0,5,2009
519,5,1,1,0,4,2009
519,9,2,0,0,4081,2009
519,9,2,1,0,1119,2009
519,9,1,0,0,4619,2009
519,9,1,1,0,1366,2009
534,0,2,0,0,37,2009
534,0,2,1,0,2,2009
534,0,1,0,0,69,2009
534,1,2,0,0,2,2009
534,1,1,0,0,7,2009
534,3,2,0,0,2,2009
534,3,1,0,0,4,2009
534,3,1,1,0,1,2009
534,9,2,0,0,865,2009
534,9,2,1,0,48,2009
534,9,1,0,0,2010,2009
534,9,1,1,0,169,2009
578,0,2,0,0,9458,2009
578,0,2,1,0,967,2009
578,0,1,0,0,9301,2009
578,0,1,1,0,1296,2009
578,1,2,0,0,292,2009
578,1,2,1,0,98,2009
578,1,1,0,0,268,2009
578,1,1,1,0,92,2009
578,2,2,0,0,178,2009
578,2,2,1,0,33,2009
578,2,1,0,0,173,2009
578,2,1,1,0,44,2009
578,3,2,0,0,676,2009
578,3,2,1,0,152,2009
578,3,1,0,0,723,2009
578,3,1,1,0,213,2009
578,4,2,0,0,7,2009
578,4,2,1,0,2,2009
578,4,1,0,0,11,2009
578,4,1,1,0,4,2009
578,9,2,0,0,35,2009
578,9,2,1,0,12,2009
578,9,1,0,0,10,2009
578,9,1,1,0,5,2009
599,0,2,0,0,662,2009
599,0,2,1,0,33,2009
599,0,1,0,0,322,2009
599,0,1,1,0,35,2009
599,1,2,0,0,4,2009
599,1,1,0,0,1,2009
599,2,2,0,0,3,2009
599,3,2,0,0,5,2009
599,3,1,0,0,7,2009
599,3,1,1,0,1,2009
599,4,2,0,0,1,2009
599,9,2,0,0,9,2009
599,9,1,0,0,2,2009
663,0,2,0,0,571,2009
663,0,2,1,0,285,2009
663,0,1,0,0,581,2009
663,0,1,1,0,160,2009
663,3,1,0,0,1,2009
663,9,2,0,0,4,2009
663,9,1,0,0,6,2009
977,0,2,0,0,75,2009
977,0,2,1,0,14,2009
977,0,1,0,0,329,2009
977,0,1,1,0,31,2009
977,1,2,0,0,2,2009
977,1,1,0,0,6,2009
977,1,1,1,0,2,2009
977,2,2,0,0,6,2009
977,2,2,1,0,1,2009
977,2,1,0,0,5,2009
977,2,1,1,0,5,2009
